Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C2, C3, C4, C5, C6",0603,8,100nF,
"C11, C13, C16",0402,3,100nF,
C15,0402,1,1uF,
"C17, C19",0603,2,10uF,
"C18, C20",0603,2,22uF,
"C7, C8",CP_Elec_6.3x5.9,2,220 uF,
"D1, D2, D3, D4, D5, D7",IR_Emitter SFH_4045N,6,SFH 4045N,
D10,0603,1,Red_LED,
"D11, D12, D13",0603,3,Blue_LED,
D15,D_SMA,1,SMAJ15A,
D6,0603,1,WHITE_LED,
D8,0603,1,YELLOW_LED,
D9,0603,1,GREEN_LED,
"DRA1, DRA2",Brushed_Motor Pololu_HPCB_12V_with_ENC_SIDE,2,DIN_Rail_Adapter,
F1,0603,1,5A 32V,
"J1, J2",JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,2,Conn_01x06_MountingPin,
J3,PinHeader_2x05_P1.27mm_Vertical_SMD,1,ARM Cortex Debug,
J4,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Power XT30UPB-M,
J5,Buzzer_Murata_PKLCS1212E,1,ALARM PKLCS1212E,
"Q1, Q12, Q3, Q5, Q7, Q9",SOT-23,6,DMG3402LQ,
"Q10, Q13, Q2, Q4, Q6, Q8",Phototransistor AA4040P3C,6,AA4040P3C-P22,
Q11,TSOT-23,1,DMG3402LQ,
"R1, R11, R14, R20, R4, R7",1206,6,10k,
"R10, R13, R16, R19, R3, R6",1206,6,3.3k,
"R12, R15, R2, R21, R5, R8",0603,6,50Ω 1.5W,
"R17, R18",0603,2,43 kΩ,
"R24, R25, R26, R27, R28, R29, R33",0603,7,470Ω,
R30,0603,1,100kΩ,
R31,0603,1,40kΩ,
R32,0603,1,300Ω,
R34,0603,1,1kΩ,
R36,0402,1,10K,
R37,0402,1,100,
R9,0603,1,10K,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
"SW2, SW3",SW_SPST_CK_RS282G05A3,2,SW_Push,
U1,MCU STM32F105RCT6,1,STM32F105RCT6,
"U2, U3",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8871DDA,
U5,IMU BMI088,1,BMI088,
U6,3V3_LDO_AZ1117CH-3.3TRG1,1,3V3_LDO AZ1117CH-3.3TRG1,
U7,TO-252-2,1,NCP1117-1.5_TO252,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,"8MHz, OT32258MJBA4SL",
